사이트,회사명,제목,링크
사람인,(주)에프원시큐리티,모의해킹신입 및 경력직 채용 공고,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=54090734&location=ts&searchword=%EB%AA%A8%EC%9D%98%ED%95%B4%ED%82%B9&searchType=search&paid_fl=n&search_uuid=bfa633a1-6c2e-4134-a82c-be27278626cf
사람인,(주)이노시큐리티,이노시큐리티 보안컨설턴트 모집(관리/기술/모의해킹),https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=53998114&location=ts&searchword=%EB%AA%A8%EC%9D%98%ED%95%B4%ED%82%B9&searchType=search&paid_fl=n&search_uuid=bfa633a1-6c2e-4134-a82c-be27278626cf
사람인,(주)에버스핀,취약점 분석 및 정보보안모의해킹컨설턴트 채용,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=54040941&location=ts&searchword=%EB%AA%A8%EC%9D%98%ED%95%B4%ED%82%B9&searchType=search&paid_fl=n&search_uuid=bfa633a1-6c2e-4134-a82c-be27278626cf
사람인,(주)에이쓰리시큐리티,A3SECURITY 컨설턴트 모집(모의해킹) 경력 5년 이상,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=53864835&location=ts&searchword=%EB%AA%A8%EC%9D%98%ED%95%B4%ED%82%B9&searchType=search&paid_fl=n&search_uuid=bfa633a1-6c2e-4134-a82c-be27278626cf
사람인,(주)에이아이스페라,AI Spera [레드팀]모의해킹& OSINT 분석 채용,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=53915624&location=ts&searchword=%EB%AA%A8%EC%9D%98%ED%95%B4%ED%82%B9&searchType=search&paid_fl=n&search_uuid=bfa633a1-6c2e-4134-a82c-be27278626cf
사람인,(주)아도스,모의해킹/ 취약점 진단 경력직 채용,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=53980268&location=ts&searchword=%EB%AA%A8%EC%9D%98%ED%95%B4%ED%82%B9&searchType=search&paid_fl=n&search_uuid=bfa633a1-6c2e-4134-a82c-be27278626cf
사람인,(주)핀시큐리티,정보보안 컨설팅모의해킹채용[경력],https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=54023320&location=ts&searchword=%EB%AA%A8%EC%9D%98%ED%95%B4%ED%82%B9&searchType=search&paid_fl=n&search_uuid=bfa633a1-6c2e-4134-a82c-be27278626cf
사람인,제노솔루션(주),[제노솔루션]모의해킹/ 취약점 점검 경력 채용,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=53904743&location=ts&searchword=%EB%AA%A8%EC%9D%98%ED%95%B4%ED%82%B9&searchType=search&paid_fl=n&search_uuid=bfa633a1-6c2e-4134-a82c-be27278626cf
사람인,(주)시니어앤파트너즈,"[위례] 웹,앱모의해킹(경력)",https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=54068137&location=ts&searchword=%EB%AA%A8%EC%9D%98%ED%95%B4%ED%82%B9&searchType=search&paid_fl=n&search_uuid=bfa633a1-6c2e-4134-a82c-be27278626cf
사람인,(주)윈스테크넷,클라우드 시큐리티 스쿨 교육생 모집 (부산),https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=53989789&location=ts&searchword=%EB%AA%A8%EC%9D%98%ED%95%B4%ED%82%B9&searchType=search&paid_fl=n&search_uuid=bfa633a1-6c2e-4134-a82c-be27278626cf
사람인,데상트코리아(주),각 부문별 경력사원 모집,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=54089056&location=ts&searchword=%EB%AA%A8%EC%9D%98%ED%95%B4%ED%82%B9&searchType=search&paid_fl=n&search_uuid=bfa633a1-6c2e-4134-a82c-be27278626cf
사람인,대구경북과학기술원부설한국뇌연구원,2026년도 제3차 한국뇌연구원 직원(계약직) 공개채용 공고,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=54040550&location=ts&searchword=%EB%AA%A8%EC%9D%98%ED%95%B4%ED%82%B9&searchType=search&paid_fl=n&search_uuid=bfa633a1-6c2e-4134-a82c-be27278626cf
사람인,(주)엘지씨엔에스,[LG CNS] 보안 분야 전 영역 전문가 모집(경력),https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=53947937&location=ts&searchword=%EB%AA%A8%EC%9D%98%ED%95%B4%ED%82%B9&searchType=search&paid_fl=n&search_uuid=bfa633a1-6c2e-4134-a82c-be27278626cf
사람인,(주)수산아이앤티,[수산그룹]수산INT 개발직군 채용(백엔드/서비스기획/QA엔지니어 등),https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=53930400&location=ts&searchword=%EB%AA%A8%EC%9D%98%ED%95%B4%ED%82%B9&searchType=search&paid_fl=n&search_uuid=bfa633a1-6c2e-4134-a82c-be27278626cf
사람인,(주)안랩,[안랩] 2026 연구소 집중 채용,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=54076392&location=ts&searchword=%EB%AA%A8%EC%9D%98%ED%95%B4%ED%82%B9&searchType=search&paid_fl=n&search_uuid=bfa633a1-6c2e-4134-a82c-be27278626cf
사람인,(주)사람인,[사람인] 정보보안 운영 담당자(경력),https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=54047274&location=ts&searchword=%EB%AA%A8%EC%9D%98%ED%95%B4%ED%82%B9&searchType=search&paid_fl=n&search_uuid=bfa633a1-6c2e-4134-a82c-be27278626cf
